,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,999612.6110607147
2,2019-01-04,999905.14858284
3,2019-01-07,999877.3957382202
4,2019-01-08,1000148.8254390716
5,2019-01-09,1000457.2454017639
6,2019-01-10,1000525.1953830719
7,2019-01-11,1000263.7224819183
8,2019-01-14,999813.3143066405
9,2019-01-15,1000483.3522880554
10,2019-01-16,1000935.5717315673
11,2019-01-17,1001178.5410968779
12,2019-01-18,1001455.6291896818
13,2019-01-22,1000336.0710266111
14,2019-01-23,1000543.9695236204
15,2019-01-24,1000094.0114120481
16,2019-01-25,1002064.2933135984
17,2019-01-28,1001455.280849838
18,2019-01-29,1000740.4758895872
19,2019-01-30,1005633.4531200407
20,2019-01-31,1006209.7461589811
21,2019-02-01,1006246.6554759977
22,2019-02-04,1008779.8328311918
23,2019-02-05,1010418.8152675626
24,2019-02-06,1010449.669621658
25,2019-02-07,1008433.864569473
26,2019-02-08,1008557.0167037961
27,2019-02-11,1007904.9114082333
28,2019-02-12,1008901.8215042112
29,2019-02-13,1008393.4246994016
30,2019-02-14,1008844.7323234555
31,2019-02-15,1008552.0653381344
32,2019-02-19,1008947.5504352566
33,2019-02-20,1009832.2514823909
34,2019-02-21,1009020.437785339
35,2019-02-22,1010653.242415237
36,2019-02-25,1011759.7246391292
37,2019-02-26,1011846.0443264004
38,2019-02-27,1012344.2741020198
39,2019-02-28,1010697.4020767207
40,2019-03-01,1012475.815928268
41,2019-03-04,1013355.0183433528
42,2019-03-05,1013021.5939243312
43,2019-03-06,1011953.8435401912
44,2019-03-07,1009773.1357097621
45,2019-03-08,1010220.7072479243
46,2019-03-11,1016963.6686027522
47,2019-03-12,1019272.6049530024
48,2019-03-13,1020208.4581787104
49,2019-03-14,1022627.7276367182
50,2019-03-15,1025549.4638053889
51,2019-03-18,1027917.768875503
52,2019-03-19,1026015.8701770777
53,2019-03-20,1028126.7616424555
54,2019-03-21,1037285.7405586237
55,2019-03-22,1031839.898518371
56,2019-03-25,1028667.5322528834
57,2019-03-26,1025941.1988105769
58,2019-03-27,1028322.6554271693
59,2019-03-28,1028679.205564117
60,2019-03-29,1030481.7666542048
61,2019-04-01,1032404.0287647243
62,2019-04-02,1036619.8887420649
63,2019-04-03,1038667.0164768214
64,2019-04-04,1039194.9721614833
65,2019-04-05,1041275.2861602778
66,2019-04-08,1046280.6100421901
67,2019-04-09,1045291.2745014186
68,2019-04-10,1047151.3154548641
69,2019-04-11,1044324.7738834376
70,2019-04-12,1044182.7294582363
71,2019-04-15,1044803.7519493098
72,2019-04-16,1044834.1669464107
73,2019-04-17,1051765.0453205104
74,2019-04-18,1053082.899149322
75,2019-04-22,1054308.3473304743
76,2019-04-23,1059793.439063644
77,2019-04-24,1059184.9748245236
78,2019-04-25,1055589.0527538294
79,2019-04-26,1053688.2237167354
80,2019-04-29,1054290.5207889553
81,2019-04-30,1046470.6468788143
82,2019-05-01,1066244.028933334
83,2019-05-02,1063454.4237411495
84,2019-05-03,1068797.3231811519
85,2019-05-06,1061985.9513431545
86,2019-05-07,1050145.6762710568
87,2019-05-08,1050225.8688648217
88,2019-05-09,1045523.3418212886
89,2019-05-10,1039458.4116466517
90,2019-05-13,1014100.1749282832
91,2019-05-14,1020672.1286666865
