,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,999785.9696792603
2,2019-01-04,1000339.0067329407
3,2019-01-07,1000509.300869751
4,2019-01-08,1000831.364189148
5,2019-01-09,1001014.9621429443
6,2019-01-10,1001236.9516807556
7,2019-01-11,1001221.5584205628
8,2019-01-14,1000859.2468696594
9,2019-01-15,1001680.9021003722
10,2019-01-16,1001864.3722732543
11,2019-01-17,1002595.5916290282
12,2019-01-18,1003993.6832603454
13,2019-01-22,1002335.6861228942
14,2019-01-23,1002609.4251815794
15,2019-01-24,1002773.5607765196
16,2019-01-25,1003979.4275474546
17,2019-01-28,1002777.945298004
18,2019-01-29,1002544.2463653563
19,2019-01-30,1005164.6942939756
20,2019-01-31,1006731.7514289854
21,2019-02-01,1006924.5041465757
22,2019-02-04,1008247.3505569455
23,2019-02-05,1009232.8729377744
24,2019-02-06,1008762.4392929075
25,2019-02-07,1006639.1607933042
26,2019-02-08,1006879.9500137327
27,2019-02-11,1007052.5350448606
28,2019-02-12,1010326.1707824704
29,2019-02-13,1011153.0774948117
30,2019-02-14,1010509.587181854
31,2019-02-15,1013598.5978698727
32,2019-02-19,1014081.371530914
33,2019-02-20,1014674.6003959653
34,2019-02-21,1013554.3710609433
35,2019-02-22,1015630.4131080625
36,2019-02-25,1016105.3930717466
37,2019-02-26,1015811.5943229672
38,2019-02-27,1015656.147072601
39,2019-02-28,1014747.2803573605
40,2019-03-01,1017313.4191589352
41,2019-03-04,1015846.2263618466
42,2019-03-05,1015392.8722213742
43,2019-03-06,1012780.2368125912
44,2019-03-07,1009515.0916023251
45,2019-03-08,1008684.2366973873
46,2019-03-11,1014863.7653465268
47,2019-03-12,1016164.2966957089
48,2019-03-13,1019337.7135360715
49,2019-03-14,1019092.8061645505
50,2019-03-15,1021437.8167762753
51,2019-03-18,1023192.758021545
52,2019-03-19,1023183.2557960507
53,2019-03-20,1021696.7149963375
54,2019-03-21,1027291.7511375423
55,2019-03-22,1017345.523670959
56,2019-03-25,1016905.5475799558
57,2019-03-26,1020730.5854339596
58,2019-03-27,1018212.9221977231
59,2019-03-28,1020244.5972503659
60,2019-03-29,1024098.3537971494
61,2019-04-01,1030830.1526466366
62,2019-04-02,1030820.5293373105
63,2019-04-03,1032142.8403846738
64,2019-04-04,1033547.7955429074
65,2019-04-05,1035702.9773162839
66,2019-04-08,1036394.054129028
67,2019-04-09,1032633.0756462094
68,2019-04-10,1034986.4460601804
69,2019-04-11,1034976.7568214413
70,2019-04-12,1039494.7012496945
71,2019-04-15,1039073.6443824766
72,2019-04-16,1039480.9922035214
73,2019-04-17,1037920.8682586667
74,2019-04-18,1039054.0616027829
75,2019-04-22,1039768.3811645505
76,2019-04-23,1046361.598847961
77,2019-04-24,1044716.4323783871
78,2019-04-25,1044405.4325019834
79,2019-04-26,1048056.1254821774
80,2019-04-29,1048895.8079238888
81,2019-04-30,1049667.862711334
82,2019-05-01,1043641.9822776791
83,2019-05-02,1041869.4199913022
84,2019-05-03,1049887.411627197
85,2019-05-06,1046185.1035316464
86,2019-05-07,1032227.8828216549
87,2019-05-08,1030874.4909774777
88,2019-05-09,1028571.1664581295
89,2019-05-10,1032084.0583412168
90,2019-05-13,1011048.9499824521
91,2019-05-14,1018067.3017105099
92,2019-05-15,1023386.5657424923
