,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,999989.0641060829
2,2019-01-04,1000426.9114587783
3,2019-01-07,1000495.0747677803
4,2019-01-08,1000621.2463279724
5,2019-01-09,1000701.9272727013
6,2019-01-10,1000688.7756857872
7,2019-01-11,1000612.7590593338
8,2019-01-14,1000448.7390414238
9,2019-01-15,1000351.4745066642
10,2019-01-16,1000495.0511278152
11,2019-01-17,1000589.2858675956
12,2019-01-18,1000773.460461521
13,2019-01-22,999942.0752613067
14,2019-01-23,1000224.9493374825
15,2019-01-24,1000687.7017463684
16,2019-01-25,1000840.9221295357
17,2019-01-28,1000181.6997888566
18,2019-01-29,992833.4645073891
19,2019-01-30,992685.3602401734
20,2019-01-31,992955.089981556
21,2019-02-01,992750.8837388994
22,2019-02-04,993026.4121475221
23,2019-02-05,993959.6128810884
24,2019-02-06,993308.5259759905
25,2019-02-07,993210.6934812547
26,2019-02-08,992907.8224930764
27,2019-02-11,992776.1530868531
28,2019-02-12,993452.0903499604
29,2019-02-13,993226.5873224259
30,2019-02-14,992819.258479023
31,2019-02-15,993117.990901947
32,2019-02-19,992405.0354341507
33,2019-02-20,992403.9521872521
34,2019-02-21,991843.8372631074
35,2019-02-22,992993.7213669778
36,2019-02-25,993619.3573651315
37,2019-02-26,993940.3127726556
38,2019-02-27,994049.4460256578
39,2019-02-28,994161.4779312136
40,2019-03-01,994353.7819939615
41,2019-03-04,993638.8632413866
42,2019-03-05,993759.6134865762
43,2019-03-06,993592.1344163896
44,2019-03-07,993718.6847314836
45,2019-03-08,991019.1198746682
46,2019-03-11,992308.2818037987
47,2019-03-12,993261.8040551186
48,2019-03-13,993771.3666912079
49,2019-03-14,992545.246691227
50,2019-03-15,993094.1547430039
51,2019-03-18,993144.0450465203
52,2019-03-19,992570.9398318292
53,2019-03-20,990131.8436296463
54,2019-03-21,990400.7946596146
55,2019-03-22,989849.737561512
56,2019-03-25,988112.6955522537
57,2019-03-26,989308.6817696572
58,2019-03-27,988959.6443358422
59,2019-03-28,988368.6130851747
60,2019-03-29,988187.5956873895
61,2019-04-01,989467.5799201013
62,2019-04-02,987792.5459947587
63,2019-04-03,984830.534312439
64,2019-04-04,987389.5688710214
65,2019-04-05,986283.5653751375
66,2019-04-08,986810.5788716318
67,2019-04-09,986005.5856384279
68,2019-04-10,987024.6075294496
69,2019-04-11,985574.6102662088
70,2019-04-12,982493.6305277826
71,2019-04-15,979794.6977152826
72,2019-04-16,980801.8061872483
73,2019-04-17,979778.8956809998
74,2019-04-18,978520.0081736565
75,2019-04-22,977619.1248793603
76,2019-04-23,979442.2653878214
77,2019-04-24,980365.375506592
78,2019-04-25,979896.4712335588
79,2019-04-26,979421.5804526331
80,2019-04-29,978380.6905370714
81,2019-04-30,977488.8095932009
82,2019-05-01,976339.9495981219
83,2019-05-02,978497.1004978183
84,2019-05-03,980176.2218955997
85,2019-05-06,979155.3258683209
86,2019-05-07,978466.4415244106
87,2019-05-08,977769.5568911557
88,2019-05-09,976272.6956121449
89,2019-05-10,975915.8354639057
90,2019-05-13,973934.993643761
91,2019-05-14,976391.1631309512
92,2019-05-15,977862.3087271693
93,2019-05-16,977675.4443391802
94,2019-05-17,977110.5733947756
95,2019-05-20,971884.7196427347
96,2019-05-21,972555.9107130052
97,2019-05-22,970324.0975279809
98,2019-05-23,968363.3047241688
99,2019-05-24,969550.5383119107
100,2019-05-28,968749.7523064615
101,2019-05-29,967031.9823519707
102,2019-05-30,967337.2226282597
103,2019-05-31,967130.4628247261
104,2019-06-03,965985.703436184
105,2019-06-04,969659.9604416371
106,2019-06-05,940191.1762176515
107,2019-06-06,941153.6738503457
108,2019-06-07,939965.1594083786
109,2019-06-10,944542.6582399845
110,2019-06-11,947622.111302662
111,2019-06-12,945179.5416315557
112,2019-06-13,947418.9894953251
113,2019-06-14,946627.4229438305
114,2019-06-17,947424.8564648151
115,2019-06-18,947769.2888776301
116,2019-06-19,946608.7169838904
117,2019-06-20,945438.1550996779
118,2019-06-21,944139.6005241869
119,2019-06-24,943544.0562544344
120,2019-06-25,944503.5183389185
121,2019-06-26,944744.9731081483
122,2019-06-27,945598.428202438
123,2019-06-28,944736.872091007
124,2019-07-01,943372.32934823
125,2019-07-02,943621.7931097981
126,2019-07-03,942739.2529468533
127,2019-07-05,945405.7224313256
128,2019-07-08,944509.1682340619
129,2019-07-09,942702.6249564168
130,2019-07-10,941012.0924686906
131,2019-07-11,936557.5787163732
132,2019-07-12,937481.0906880376
133,2019-07-15,935352.6017174717
134,2019-07-16,933744.12825098
135,2019-07-17,930368.6652509687
136,2019-07-18,927920.2231005665
137,2019-07-19,929563.8080654141
138,2019-07-22,927079.3718539712
139,2019-07-23,926383.9618308065
140,2019-07-24,926243.5496264455
141,2019-07-25,924833.1429711339
142,2019-07-26,925258.7479504106
143,2019-07-29,926831.3420408723
144,2019-07-30,925534.9347100732
145,2019-07-31,925389.5283912655
146,2019-08-01,922761.1254166123
147,2019-08-02,921878.7422577615
148,2019-08-05,920842.365245771
149,2019-08-06,922331.9928247925
150,2019-08-07,922331.6118247983
151,2019-08-08,923539.233272886
152,2019-08-09,918978.8413737057
153,2019-08-12,917754.4835410116
154,2019-08-13,917138.1331284759
155,2019-08-14,914812.7846502778
156,2019-08-15,913096.4542867896
157,2019-08-16,914823.1316397903
158,2019-08-19,915770.8025027273
159,2019-08-20,916406.463896179
160,2019-08-21,918326.1200651167
161,2019-08-22,923638.764836788
162,2019-08-23,920074.3812356946
163,2019-08-26,922845.0135930536
164,2019-08-27,920876.6334698913
165,2019-08-28,923846.2645713803
166,2019-08-29,929655.8749882695
167,2019-08-30,925313.4521475312
168,2019-09-03,922625.0537055727
169,2019-09-04,925497.6739949462
170,2019-09-05,929747.2759949443
171,2019-09-06,931114.8516903159
172,2019-09-09,938854.4256112811
173,2019-09-10,944562.948291373
174,2019-09-11,935862.4392913578
175,2019-09-12,935686.9762859104
176,2019-09-13,932694.5169431445
177,2019-09-16,931632.0769559619
178,2019-09-17,931275.6422954794
179,2019-09-18,936108.2089540716
180,2019-09-19,933227.7517006632
181,2019-09-20,937933.3032126662
182,2019-09-23,943756.8363369224
183,2019-09-24,943573.3388745066
184,2019-09-25,947068.8301535365
185,2019-09-26,948548.317563605
