,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,999628.2598335266
2,2019-01-04,1000500.1959312438
3,2019-01-07,1000528.2167442321
4,2019-01-08,1000806.2546661376
5,2019-01-09,1001511.3072357177
6,2019-01-10,1001110.0819984435
7,2019-01-11,1000555.1896415709
8,2019-01-14,999961.4789360045
9,2019-01-15,1002543.2531814573
10,2019-01-16,1002892.9767646787
11,2019-01-17,1003674.6421981809
12,2019-01-18,1005520.5407539365
13,2019-01-22,1002942.6731742857
14,2019-01-23,1004335.265232086
15,2019-01-24,1003580.6173446653
16,2019-01-25,1005080.1976943968
17,2019-01-28,1001613.2095230101
18,2019-01-29,997855.5364646909
19,2019-01-30,1004204.1117897031
20,2019-01-31,1000399.6188400267
21,2019-02-01,997018.5036163328
22,2019-02-04,1003343.7432197569
23,2019-02-05,1006645.0757781981
24,2019-02-06,1003856.1840919493
25,2019-02-07,1001997.4000877378
26,2019-02-08,1002998.9752090452
27,2019-02-11,1001885.4342048643
28,2019-02-12,1006342.5868331908
29,2019-02-13,1006106.4440780638
30,2019-02-14,1006358.763544464
31,2019-02-15,1010329.27341156
32,2019-02-19,1010163.1054847717
33,2019-02-20,1008347.0637290954
34,2019-02-21,1015844.0031692504
35,2019-02-22,1021167.774873352
36,2019-02-25,1023337.6092216491
37,2019-02-26,1026110.2318115234
38,2019-02-27,1025393.8280601501
39,2019-02-28,1024849.4574905395
40,2019-03-01,1026792.5525329589
41,2019-03-04,1025699.9717407225
42,2019-03-05,1023391.0393074035
43,2019-03-06,1023590.2182281493
44,2019-03-07,1017732.8309837341
45,2019-03-08,1018249.664138031
46,2019-03-11,1028665.5502037047
47,2019-03-12,1032282.15259552
48,2019-03-13,1036397.9926841735
49,2019-03-14,1036817.6568595886
50,2019-03-15,1043254.7492233276
51,2019-03-18,1051514.777043915
52,2019-03-19,1051909.8180046082
53,2019-03-20,1051225.107952881
54,2019-03-21,1065458.4991348267
55,2019-03-22,1048412.4974945069
56,2019-03-25,1051738.6225845336
57,2019-03-26,1053119.2939407348
58,2019-03-27,1046647.6894386292
59,2019-03-28,1047558.60598526
60,2019-03-29,1053467.9428733825
61,2019-04-01,1059893.0387786864
62,2019-04-02,1060911.1329559325
