,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,999908.5868106842
2,2019-01-04,999838.5460285187
3,2019-01-07,999976.9511175156
4,2019-01-08,1000300.6603839875
5,2019-01-09,1000692.575718689
6,2019-01-10,997704.6124713898
7,2019-01-11,997273.94797287
8,2019-01-14,997030.4658676148
9,2019-01-15,996948.4276807785
10,2019-01-16,996502.7842798233
11,2019-01-17,996764.008761406
12,2019-01-18,997868.6085365296
13,2019-01-22,996840.2276662827
14,2019-01-23,996589.7039703369
15,2019-01-24,996334.7592294693
16,2019-01-25,997751.5522251129
17,2019-01-28,998065.896572876
18,2019-01-29,998063.6155843735
19,2019-01-30,998061.3345958709
20,2019-01-31,999087.8049806594
21,2019-02-01,998023.9048666
22,2019-02-04,998294.7766778945
23,2019-02-05,998476.0566816329
24,2019-02-06,997217.9713277816
25,2019-02-07,997858.6981401442
26,2019-02-08,996657.3849206923
27,2019-02-11,996343.8783618925
28,2019-02-12,995795.3514410018
29,2019-02-13,996950.5023258207
30,2019-02-14,996682.2002161024
31,2019-02-15,995965.1686862943
32,2019-02-19,997240.0373889921
33,2019-02-20,996330.5314281462
34,2019-02-21,994609.596851921
35,2019-02-22,993396.873417282
36,2019-02-25,994352.5414653777
37,2019-02-26,995531.6699989317
38,2019-02-27,997551.4965099333
39,2019-02-28,995716.1272165297
40,2019-03-01,994649.6968330381
41,2019-03-04,994174.845026779
42,2019-03-05,994209.9351692197
43,2019-03-06,992949.3369400022
44,2019-03-07,990059.5874500272
45,2019-03-08,989219.4530719755
46,2019-03-11,991175.577933502
47,2019-03-12,992215.5435115813
48,2019-03-13,993064.8073680876
49,2019-03-14,993009.6946237562
50,2019-03-15,993367.9780794142
51,2019-03-18,994192.9886407851
52,2019-03-19,994471.9678163527
53,2019-03-20,992941.6503181456
54,2019-03-21,994885.7492034911
55,2019-03-22,991315.4783226013
56,2019-03-25,994088.5870594025
57,2019-03-26,994445.9487596512
58,2019-03-27,996534.1856529235
59,2019-03-28,995787.7414243697
60,2019-03-29,994920.5601459503
61,2019-04-01,997336.7751277924
62,2019-04-02,998451.8375261307
63,2019-04-03,998109.0367883682
64,2019-04-04,1006064.7539154053
65,2019-04-05,1003134.047375679
66,2019-04-08,1004142.7205663681
67,2019-04-09,1000578.6182388306
68,2019-04-10,998676.9849582672
69,2019-04-11,995939.1960617065
70,2019-04-12,995684.7426330566
71,2019-04-15,997665.7252422333
72,2019-04-16,998052.7552062988
73,2019-04-17,1000089.5545063019
74,2019-04-18,1000887.421493721
75,2019-04-22,995816.8595474242
76,2019-04-23,998005.9904226302
77,2019-04-24,1000778.9463769912
78,2019-04-25,994310.8575315475
79,2019-04-26,995234.042682457
80,2019-04-29,994006.4692022324
81,2019-04-30,989990.1878566743
82,2019-05-01,988732.0132808686
83,2019-05-02,989178.6370809557
84,2019-05-03,987738.4636732104
85,2019-05-06,987430.0189636232
86,2019-05-07,984250.9243242266
87,2019-05-08,983700.0929069521
88,2019-05-09,983539.4810009005
89,2019-05-10,981612.8323835375
90,2019-05-13,974474.6048965456
91,2019-05-14,976276.542874718
92,2019-05-15,975445.6296472552
93,2019-05-16,973767.7558256151
94,2019-05-17,976052.6365358355
95,2019-05-20,974424.2950193407
96,2019-05-21,976065.8503452303
97,2019-05-22,976763.1077362063
98,2019-05-23,971639.6572732928
99,2019-05-24,969318.4857091906
100,2019-05-28,969586.9020860675
101,2019-05-29,968674.9645025256
102,2019-05-30,966926.8397928241
103,2019-05-31,965254.4577585224
104,2019-06-03,970781.3534173969
105,2019-06-04,975131.4690017704
106,2019-06-05,969780.9778001789
107,2019-06-06,964187.258362389
108,2019-06-07,963698.8560390477
109,2019-06-10,975875.3776926046
110,2019-06-11,978351.2827428823
111,2019-06-12,973648.6052009588
112,2019-06-13,980816.9514148717
113,2019-06-14,978638.442531777
114,2019-06-17,980309.4310592656
115,2019-06-18,982206.0461622243
116,2019-06-19,984757.4898025517
117,2019-06-20,982394.6070785527
118,2019-06-21,986505.2709152226
119,2019-06-24,981045.9417840962
120,2019-06-25,975540.7532085422
121,2019-06-26,979423.1200296406
122,2019-06-27,978078.3589542393
123,2019-06-28,977286.6606430057
124,2019-07-01,976488.5955375675
125,2019-07-02,972473.9059165958
126,2019-07-03,975130.0049282077
127,2019-07-05,980136.8568464282
128,2019-07-08,979782.6692642216
129,2019-07-09,974574.6510442737
130,2019-07-10,973976.5448547367
131,2019-07-11,976617.94940033
132,2019-07-12,982790.5707977299
133,2019-07-15,984374.4252870564
134,2019-07-16,984249.4675367359
135,2019-07-17,977932.5570447926
136,2019-07-18,978304.7928323749
137,2019-07-19,985213.9097948078
138,2019-07-22,985085.2768026355
139,2019-07-23,991585.2749845508
140,2019-07-24,999929.6681846621
141,2019-07-25,993719.9513216021
142,2019-07-26,995020.3222003939
143,2019-07-29,992657.3477252963
144,2019-07-30,990542.0463912967
145,2019-07-31,993199.849141312
146,2019-08-01,972843.316797829
147,2019-08-02,973919.9942419055
148,2019-08-05,964958.8542135241
149,2019-08-06,967963.5740518572
150,2019-08-07,962320.8974603656
151,2019-08-08,960657.0630622866
152,2019-08-09,948247.3608787538
153,2019-08-12,946140.6206129076
154,2019-08-13,947268.8380670549
155,2019-08-14,910872.6846658707
156,2019-08-15,901713.841300583
157,2019-08-16,899120.3624411584
158,2019-08-19,901292.6443959237
159,2019-08-20,890061.9233960153
160,2019-08-21,890354.0479073526
161,2019-08-22,893010.6720603944
162,2019-08-23,883796.9100788118
163,2019-08-26,880356.9631841661
164,2019-08-27,874188.4097033503
165,2019-08-28,879029.8629665377
166,2019-08-29,883443.9128027918
167,2019-08-30,881144.9765600207
168,2019-09-03,875442.3387507441
169,2019-09-04,883501.3236418726
170,2019-09-05,889736.9231885913
171,2019-09-06,890990.2271552088
172,2019-09-09,903451.6703564646
173,2019-09-10,918048.3152234079
174,2019-09-11,929856.5494446757
175,2019-09-12,922278.8552550318
176,2019-09-13,924586.1444091799
177,2019-09-16,929228.5736429216
178,2019-09-17,916050.1073841096
179,2019-09-18,910010.2079274179
180,2019-09-19,900731.8965410234
181,2019-09-20,895472.6035578729
182,2019-09-23,897688.2223215104
183,2019-09-24,892885.3233302118
184,2019-09-25,897711.5735964776
185,2019-09-26,892682.8575923921
186,2019-09-27,893378.5809178354
187,2019-09-30,897757.85628891
188,2019-10-01,897932.5891526224
189,2019-10-02,881991.863353634
190,2019-10-03,884661.097186947
191,2019-10-04,887523.3369267465
192,2019-10-07,888781.3345123293
193,2019-10-08,885343.7627943995
194,2019-10-09,886614.8718671801
195,2019-10-10,893739.7664758684
196,2019-10-11,901452.1541987421
197,2019-10-14,893697.5035114291
198,2019-10-15,900931.977950001
199,2019-10-16,902608.7617488863
200,2019-10-17,902607.2830821993
201,2019-10-18,890174.8794277193
202,2019-10-21,896041.2865886689
203,2019-10-22,904219.3443503381
204,2019-10-23,900585.8708063127
205,2019-10-24,895205.7174495698
206,2019-10-25,898871.8900739672
207,2019-10-28,896348.8258010866
208,2019-10-29,892839.0681205752
209,2019-10-30,889899.9699689867
210,2019-10-31,890685.6806425096
211,2019-11-01,898988.4048369409
212,2019-11-04,904350.631282139
213,2019-11-05,921514.0360592843
214,2019-11-06,906673.355104065
215,2019-11-07,911708.4606535912
216,2019-11-08,904825.2696142197
217,2019-11-11,908280.5469426155
218,2019-11-12,908891.8935462952
219,2019-11-13,908685.1661641122
220,2019-11-14,912188.2360523224
221,2019-11-15,924819.0944807053
222,2019-11-18,925441.5899132729
223,2019-11-19,886990.9380988121
224,2019-11-20,886569.7381244659
225,2019-11-21,879189.0372318268
226,2019-11-22,895282.4595214844
227,2019-11-25,898046.2512690545
228,2019-11-26,893985.4914596558
229,2019-11-27,896344.4475018502
